id,q1,q2,q3,q4_1,q4_2,q5_1,q5_2,q5_3,q5_4,q5_5,q5_6,q6_ア,q6_イ,q6_ウ,q6_エ,q6_オ,q7_1,q7_2,q7_3,q7_4,q7_5,q7_6,q8_1_1,q8_1_2,q8_1_3,q8_1_4,q8_1_5,q8_1_6,q8_1_7,q8_2_1,q8_2_2,q8_2_3,q8_2_4,q8_2_5,q8_2_6,q8_2_7,q8_3_1,q8_3_2,q8_3_3,q8_3_4,q8_3_5,q8_3_6,q8_3_7,q9_1,q9_2,q9_3,q9_4,q9_5,q9_6,q9_7,q10_1,q10_2,q10_3,q10_4,q10_5,q10_6,q11_1,q11_2,q11_3,q11_4,q11_5,q11_6,q12_1_1,q12_1_2,q12_1_3,q12_2_1,q12_2_2,q12_2_3,q12_3_1,q12_3_2,q12_3_3,q13_ア,q13_イ,q13_ウ,q13_エ,q13_オ,q13_カ,q13_キ,q13_ク,q13_ケ,q13_コ,q13_サ,q13_シ,q13_ス,q14_1,q14_2,q15_1,q15_2a,q15_2b,q15_2c,q15_2d,q15_2e,q15_2f,q15_3_1,q15_3_2,q15_3_3,q15_3_4,q15_3_5,q16_1,q16_2,q16_3,q17_a,q17_b,q17_c,q17_d,q17_e,q19_a,q19_b,q19_c,q19_d,q19_e,q19_f,q19_g,q19_h,q19_i,q19_j,q19_k,q20,q21,q22_1,q22_2,q22_3,q22_4,q22_5,q22_6,q22_7,q22_8,q22_9,q22_10,q22_11,q22_12,q22_13
651,3,7,3,4,4,4,4,,2,2,,5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,4,4,,4,4,,4,4,,,,,,,,,,,,,,5,3,2,,,,,,,,,,,,,1,1,1,4,2,4,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0
652,3,1,3,5,5,3,3,,2,1,1,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,3,4,1,4,3,3,2,2,1,2,2,4,2,4,4,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,2,2,2,1,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
653,3,7,4,1,1,1,0,1,1,0,1,5,3,6,6,6,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,4,4,3,4,4,4,2,4,4,2,4,4,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,,,,,,,,,,,,1,1,1,5,4,4,4,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0
654,1,7,3,,,1,,1,1,,1,5,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,,,,,,,,,2,2,2,2,2,2,2,4,4,1,0,0,0,0,0,1,0,1,0,0,0,0,3,7,2,,,,,,,,,,,,1,1,1,1,5,5,4,1,0,0,0,1,0,1,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
655,3,8,4,4,4,12,4,8,12,4,8,5,2,2,6,6,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,,,,,,,4,3,3,4,4,4,5,4,4,5,4,4,5,4,4,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,,,,,,,0,1,0,0,0,2,2,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,2,,1,0,0,0,1,0,0,0,1,0,1,0,0
656,4,3,3,,,18,2,16,15,3,12,,,,,,6,6,5,5,6,6,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,,,,,,,,0,0,0,0,0,1,1,4,1,1,4,4,5,4,4,5,4,4,5,4,4,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2,,,,,,,,,,,,1,2,1,5,4,5,4,1,0,0,0,0,0,0,0,0,0,0,1,2,,,,,,,,,,,,,,
657,3,9,6,5,5,5,,,5,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,4,4,3,3,4,4,5,4,4,5,4,4,5,4,4,,,,,,,,,,,,,,4,4,2,,,,,,,,,,,,2,2,2,5,5,5,5,5,0,0,0,0,0,0,0,0,0,1,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
658,2,7,6,3,3,2,2,,2,2,,5,6,6,6,6,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,,,,,4,4,4,4,4,4,2,2,1,5,4,4,5,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,4,5,1,1,0,0,0,1,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
659,3,7,3,2,2,1,,,1,,,2,6,6,3,3,,,,,,,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,4,4,4,4,4,4,5,1,4,1,,4,5,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,1,2,2,,,,,,,,,,,,1,1,1,2,2,2,4,1,0,0,0,1,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,1,0,0,0,0,0,0
660,2,7,,,,49,18,31,27,12,15,4,1,6,6,6,,,,,,,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,,,,,,,4,4,1,1,4,4,5,4,4,5,4,4,5,4,4,0,0,0,0,0,0,0,0,1,0,1,0,0,3,3,2,,,,,,,,,,,,1,1,1,4,4,1,4,1,0,0,0,0,0,1,0,0,0,0,0,2,,,,,,,,,,,,,,
661,3,7,4,2,2,5,1,4,3,1,2,5,2,6,6,6,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,1,,,1,2,4,1,2,4,1,4,4,0,0,1,0,0,0,1,1,0,0,0,0,0,1,3,1,0,0,0,1,0,0,1,1,0,0,0,2,1,1,5,2,1,4,1,0,0,0,1,1,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,1,0,0,0,0,0
662,1,7,6,,,2,1,1,2,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,,,,,,,,,5,4,4,2,4,4,3,4,4,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,1,1,1,1,4,,4,1,0,0,1,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,
663,1,7,4,1,1,1,,,1,,,5,6,6,6,6,,,,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,,,,,,,4,4,3,4,4,4,2,3,2,2,2,2,5,4,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,,,,,,,,,,1,1,1,1,5,5,1,1,0,0,0,1,1,0,0,0,0,0,0,2,,0,0,0,1,0,1,1,1,0,1,0,0,0
664,1,7,5,3,3,4,1,1,4,1,1,2,,,,,,,,,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,3,,,,,,1,2,4,5,2,4,5,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,,,,,,,,,,,,1,1,1,2,4,2,4,,0,0,0,0,0,0,0,0,0,1,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
665,5,7,3,2,2,4,1,3,4,1,3,5,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,3,3,,,5,4,4,2,4,4,3,4,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,3,3,2,5,2,1,1,1,0,0,0,0,0,1,1,0,0,0,0,2,,0,0,0,0,0,0,0,1,0,0,0,0,0
666,4,7,3,1,1,3,2,1,3,2,1,4,6,1,6,6,,,,,,,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,3,,,1,4,4,1,4,4,1,4,4,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,3,2,5,5,3,5,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
667,2,7,3,,,2,1,1,1,1,1,5,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,4,3,4,4,4,4,5,4,4,5,4,4,5,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,2,5,2,2,2,0,0,0,0,0,0,0,0,0,1,0,2,,0,0,0,0,1,1,1,1,1,1,0,0,0
668,1,1,5,5,5,14,1,13,10,1,9,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,4,1,1,4,1,3,2,4,4,2,4,4,2,4,4,0,0,1,0,1,0,0,0,1,0,1,0,0,3,1,1,1,0,0,0,0,0,,,,,,,1,,1,1,,4,1,0,0,0,0,0,0,0,0,0,0,1,2,,1,0,0,0,0,0,0,1,1,1,0,0,0
669,1,7,6,4,4,3,3,0,2,2,0,5,2,6,6,6,,,,,,,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,4,4,4,3,4,4,2,4,4,2,4,4,2,4,4,1,0,0,0,1,1,0,0,0,0,0,0,0,1,6,1,,,,,,,,,,,,3,1,1,1,2,4,4,1,0,0,1,0,0,0,0,0,0,0,0,2,,1,0,0,0,0,0,0,0,0,0,0,0,0
670,4,1,4,,,12,4,8,8,3,5,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,,,,,,,,,,,,,,4,3,3,4,4,4,5,4,4,2,2,4,5,4,4,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,2,1,1,2,4,5,5,5,,,,,,,,,,,,2,,,,,,,,,,,,,,
671,,7,1,4,,,,,3,3,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,,,,,1,4,4,4,4,4,,,,2,2,2,3,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2,,,,,,,,,,,,,,1,1,4,1,1,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0
672,1,7,3,3,3,2,2,0,2,2,0,4,6,6,6,6,,,,,,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,3,3,3,3,4,4,5,4,4,5,4,4,5,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,5,2,,,,,,,,,,,,1,1,1,1,5,5,5,1,0,0,0,0,0,0,0,0,0,1,0,2,,0,0,0,0,0,0,0,1,0,0,0,0,0
673,1,8,6,3,3,2,,2,2,,2,5,5,6,6,6,,,,,,,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,2,,,2,2,4,2,2,4,3,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,2,1,1,2,4,4,2,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
674,3,7,2,5,5,0,0,0,17,2,15,1,2,2,6,6,,,,,,,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,4,4,4,4,4,4,1,4,4,3,4,4,4,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,,,,,,,,,,,,2,2,1,1,2,1,1,1,0,0,0,0,0,1,1,0,0,0,0,2,,0,0,0,0,0,0,0,1,0,0,0,0,0
675,1,7,4,1,1,0,0,0,0,0,0,5,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,4,4,4,3,4,4,2,3,4,2,3,4,2,4,4,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,2,3,1,1,2,1,1,1,0,0,1,1,0,0,0,0,0,0,0,2,,0,0,0,1,1,1,1,1,0,0,0,0,0
676,1,7,6,1,1,1,1,,1,1,,5,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,3,,,5,4,4,,,,5,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,2,,,,,,,,,,,,1,1,1,1,5,5,5,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0
677,1,7,2,2,2,,0,10,,0,10,5,6,2,6,6,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,4,4,4,3,4,4,5,4,4,5,4,4,5,4,4,1,0,0,0,0,1,0,0,1,0,0,0,0,1,3,2,,,,,,,,,,,,2,2,1,2,5,5,5,5,0,0,0,0,0,1,1,0,0,0,0,2,,0,0,0,0,0,0,0,1,0,0,0,0,0
678,2,7,4,2,2,3,1,2,1,1,0,5,6,6,6,6,,,,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,4,4,4,1,4,4,5,4,4,5,4,4,5,4,4,0,1,1,0,1,0,0,0,0,0,0,0,0,3,2,2,,,,,,,,,,,,2,2,1,1,2,1,2,1,1,0,0,1,1,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
679,2,3,4,1,1,22,10,12,14,10,9,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,4,4,4,3,4,4,5,4,4,5,4,4,5,4,4,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,2,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
680,3,1,,,,6,4,2,7,6,1,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,4,3,4,4,4,4,5,4,4,5,4,4,5,4,4,1,1,1,0,0,1,0,0,1,0,0,0,0,3,3,1,0,0,0,0,1,0,,,,,,1,2,1,2,4,5,2,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
681,3,1,3,5,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,4,3,4,4,4,4,5,4,4,5,4,4,5,4,4,1,1,1,0,1,0,0,1,1,0,0,0,0,3,3,1,0,0,0,0,1,0,,,,,,1,2,1,2,4,5,2,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
682,3,7,6,4,4,85,5,80,85,5,80,5,5,5,5,5,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,3,3,3,3,3,3,2,4,4,2,4,4,2,,4,0,0,1,0,0,0,0,0,1,0,0,0,0,3,3,2,,,,,,,,,,,,1,1,1,2,4,2,4,2,0,0,1,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
683,4,7,2,2,2,1,,,1,,,3,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,,,4,4,4,4,4,4,1,4,4,1,4,4,1,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,,,,,,,1,0,0,0,0,1,1,1,1,5,5,2,1,0,0,0,0,0,0,0,0,0,1,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
684,1,9,1,5,,,,,21,10,11,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,3,3,3,3,3,3,,,,2,4,4,2,4,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1,4,1,0,0,0,0,1,0,1,0,0,1,0,2,2,1,2,4,5,5,1,0,1,0,0,1,1,0,0,0,0,0,2,,0,0,0,1,0,0,0,1,0,0,0,0,0
685,1,7,5,1,1,2,2,,2,2,,5,6,6,6,6,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,4,4,4,4,4,4,2,4,4,2,4,4,2,4,4,1,1,0,0,0,0,1,0,0,0,0,0,0,4,5,2,,,,,,,,,,,,1,2,1,2,2,2,4,1,0,0,0,0,0,0,0,0,0,1,0,2,,0,0,0,0,0,0,0,1,0,0,0,0,0
686,1,3,4,2,2,8,0,8,7,1,6,,,,,,6,4,6,6,6,6,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,0,0,0,1,1,0,4,1,4,4,4,4,2,4,4,2,4,4,2,4,4,1,1,0,0,0,1,0,1,1,0,0,0,0,3,2,1,0,1,1,1,0,0,1,0,0,1,0,,,,2,,,,,0,0,1,0,1,1,0,0,0,0,0,2,,1,0,0,0,0,0,0,0,0,0,0,0,0
687,1,7,3,2,2,24,4,20,23,3,20,,5,5,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,3,,,1,4,4,1,4,4,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,,,,,,,,,,,,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,2,,0,0,0,0,0,0,0,1,0,0,0,0,0
688,1,7,1,3,,,,,3,1,2,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,,,,,,,4,4,4,4,4,4,,,,1,4,4,3,4,4,0,1,0,0,0,1,1,0,1,1,0,1,0,4,2,2,,,,,,,,,,,,1,1,3,5,5,5,5,5,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0
689,1,3,3,1,1,1,,1,1,,1,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,1,2,2,1,2,2,1,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,1,3,2,,,,,,,,,,,,1,1,1,2,2,4,4,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
690,2,7,6,1,1,0,,,0,,,5,6,6,6,6,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,4,4,4,4,4,4,5,4,4,5,4,4,5,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2,,,,,,,,,,,,1,2,1,5,5,5,5,,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0
691,2,3,6,4,4,16,14,2,16,14,2,,,,,,6,6,5,6,6,6,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,1,0,0,1,0,0,4,4,1,4,4,4,2,4,4,2,,4,2,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,4,3,,0,0,0,0,1,0,1,0,0,1,0,1,1,1,2,4,4,2,2,,,,,,,,,,,,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0
692,,9,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,3,5,2,,,,,,,,,,,,,2,3,5,5,5,5,5,,,,,,,,,,,,2,,0,0,0,0,0,0,0,1,0,0,0,0,0
693,1,7,5,2,2,1,,,1,,,5,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,1,2,2,1,2,2,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,2,,,,,,,,,,,,1,1,1,2,5,5,2,2,0,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,1,0
694,1,8,4,2,2,3,1,2,2,1,1,5,5,5,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,,,,,,1,2,1,2,2,4,2,1,0,0,1,0,0,0,0,0,0,0,0,2,,0,0,0,0,1,0,1,0,1,0,0,0,0
695,1,3,6,4,4,3,,3,3,,3,,,,,,6,5,6,6,6,6,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,1,0,0,1,0,0,4,3,4,4,4,4,5,4,4,5,4,4,5,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,4,4,1,0,0,0,0,1,0,0,0,0,1,0,2,1,2,5,5,1,2,1,0,0,0,0,0,0,0,0,0,1,0,2,,0,0,0,1,0,0,0,1,0,0,0,0,0
696,1,7,5,1,1,1,1,,1,1,,5,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,4,4,4,4,4,4,2,3,4,2,3,4,2,3,4,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3,2,,,,,,,,,,,,,1,1,5,5,5,5,5,0,0,0,0,0,0,0,0,0,1,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
697,2,3,4,,,25,20,5,25,20,5,,,,,,,,,5,,,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,1,0,0,0,0,0,,,,,,,2,4,4,2,4,4,5,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5.5,2,,,,,,,,,,,,,1,,,4,,,,0,0,0,0,0,0,0,0,0,1,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
698,1,7,5,2,,2,,2,1,,1,5,4,6,6,6,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,4,4,4,3,4,4,5,4,4,5,4,4,5,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,,,,,,,,,,,,2,2,2,5,5,5,5,5,0,0,0,0,0,0,0,0,0,1,0,2,,,,,,,,,,,,,,
699,1,3,1,3,,,,,8,1,6,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,1,0,0,0,0,0,,,3,,,,,,,1,4,,1,4,,1,1,0,0,0,0,0,0,0,0,0,1,0,4,6,1,0,0,0,0,1,0,0,1,0,1,0,2,2,2,2,3,1,2,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0
700,,7,4,5,5,15,7,8,17,9,8,2,6,6,6,2,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,4,4,4,4,4,4,2,2,2,2,2,2,4,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,1,0,0,,,,,,1,1,1,1,2,2,4,1,0,0,1,0,0,1,0,0,0,0,0,1,1,,,,,,,,,,,,,
701,2,7,5,1,1,1,1,,1,1,,3,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,,,,,,,,,,,,2,2,1,1,4,2,2,1,0,0,0,0,0,0,0,0,0,1,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
702,1,7,5,2,2,4,2,2,3,2,1,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,4,4,5,4,4,5,4,4,0,1,0,0,0,1,1,0,0,0,0,0,1,5,5,1,0,0,0,0,1,0,,,,,,,1,1,5,5,5,4,1,0,0,0,1,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,
703,1,7,5,4,4,24,1,23,24,1,23,5,2,6,4,6,,,,,,,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,2,2,2,2,2,4,2,2,4,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,,,1,2,2,5,5,5,,,,,,,,,,,,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
704,1,7,5,2,2,3,2,1,3,2,1,5,6,3,6,6,,,,,,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,4,4,3,3,4,4,5,4,4,5,4,4,5,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,2,4,5,4,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
705,1,7,6,,,2,2,,2,2,,5,6,6,6,6,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,4,4,4,4,4,4,5,4,4,5,4,4,5,4,4,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,1,1,1,5,5,5,5,0,0,0,0,0,0,0,0,0,1,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
706,1,7,4,,,2,1,1,2,1,1,5,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,,,,,,,1,3,3,3,4,4,2,4,4,2,4,4,2,4,4,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,,,,,,,,,,,,,3,1,1,1,4,5,4,1,0,0,1,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,
707,,7,4,,,,,,1,,,5,6,6,6,6,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,5,4,4,5,4,4,5,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,,,,,,,,,,,,1,1,1,,,,4,1,0,0,0,1,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
