品目階層,品目コード,品目,製造品出荷額等区分階層,製造品出荷額等区分コード,製造品出荷額等区分,産出事業所数,製造品出荷額等（その他収入を除く）（万円）
2,221291,電気炉銑（賃加工）,1,2,加工賃収入額,-,-
2,221311,フェロマンガン,1,1,製造品出荷額,-,-
2,221312,シリコマンガン,1,1,製造品出荷額,-,-
2,221319,その他のフェロアロイ,1,1,製造品出荷額,-,-
2,221321,フェロアロイ類似製品,1,1,製造品出荷額,-,-
2,221391,フェロアロイ（賃加工）,1,2,加工賃収入額,1,x
2,222191,粗鋼・鋼半製品（賃加工）,1,2,加工賃収入額,-,-
2,223191,熱間圧延鋼材（賃加工）,1,2,加工賃収入額,-,-
2,223291,冷間圧延鋼材（賃加工）,1,2,加工賃収入額,2,x
2,223391,冷間ロール成型形鋼（賃加工）,1,2,加工賃収入額,-,-
2,223491,鋼管（賃加工）,1,2,加工賃収入額,1,x
2,223591,伸鉄（賃加工）,1,2,加工賃収入額,-,-
2,223691,磨棒鋼（賃加工）,1,2,加工賃収入額,1,x
2,223791,引抜鋼管（賃加工）,1,2,加工賃収入額,-,-
2,223891,伸線（賃加工）,1,2,加工賃収入額,1,x
2,223991,その他の鋼材（賃加工）,1,2,加工賃収入額,-,-
2,224111,亜鉛めっき鋼板（亜鉛めっき帯鋼を含む）,1,1,製造品出荷額,-,-
2,224191,亜鉛めっき鋼板（賃加工）,1,2,加工賃収入額,1,x
2,224911,ブリキ,1,1,製造品出荷額,-,-
2,224912,ティンフリースチール,1,1,製造品出荷額,-,-
2,224913,針金,1,1,製造品出荷額,-,-
2,224914,亜鉛めっき硬鋼線（その他のめっき鉄鋼線を含む）,1,1,製造品出荷額,-,-
2,224919,その他の表面処理鋼材,1,1,製造品出荷額,-,-
2,224991,めっき鋼管（賃加工）,1,2,加工賃収入額,-,-
2,224992,その他の表面処理鋼材（賃加工）,1,2,加工賃収入額,-,-
2,225111,機械用銑鉄鋳物,1,1,製造品出荷額,4,127394
2,225119,その他の銑鉄鋳物,1,1,製造品出荷額,-,-
2,225191,銑鉄鋳物（賃加工）,1,2,加工賃収入額,3,22871
2,225211,機械用可鍛鋳鉄鋳物,1,1,製造品出荷額,-,-
2,225212,可鍛鋳鉄製鉄管継手（フランジ形を含む）,1,1,製造品出荷額,1,x
2,225219,その他の可鍛鋳鉄鋳物,1,1,製造品出荷額,-,-
2,225291,可鍛鋳鉄鋳物（賃加工）,1,2,加工賃収入額,-,-
2,225311,普通鋼鋳鋼（鋳放しのもの）（鋳鋼管を含む）,1,1,製造品出荷額,-,-
2,225312,特殊鋼鋳鋼（鋳放しのもの）（鋳鋼管を含む）,1,1,製造品出荷額,-,-
2,225391,鋳鋼（賃加工）,1,2,加工賃収入額,-,-
2,225411,鍛工品,1,1,製造品出荷額,8,478240
2,225491,鍛工品（賃加工）,1,2,加工賃収入額,2,x
2,225511,普通鋼鍛鋼（打ち放しのもの）,1,1,製造品出荷額,-,-
2,225512,特殊鋼鍛鋼（打ち放しのもの）,1,1,製造品出荷額,-,-
2,225591,鍛鋼（賃加工）,1,2,加工賃収入額,-,-
2,229111,鉄鋼切断品（溶断を含む）,1,1,製造品出荷額,38,2603969
2,229191,鉄鋼切断（賃加工）,1,2,加工賃収入額,24,406766
2,229211,鉄スクラップ加工処理品,1,1,製造品出荷額,21,1569647
2,229291,鉄スクラップ加工処理（賃加工）,1,2,加工賃収入額,3,7487
2,229311,鋳鉄管,1,1,製造品出荷額,-,-
2,229391,鋳鉄管（賃加工）,1,2,加工賃収入額,-,-
2,229911,鉄粉、純鉄粉,1,1,製造品出荷額,-,-
2,229919,その他の鉄鋼品,1,1,製造品出荷額,21,567061
2,229991,他に分類されない鉄鋼品（賃加工）,1,2,加工賃収入額,29,224008
2,726600,製造工程からでたくず・廃物,1,3,くず・廃物出荷額,1,x
1,230000,非鉄金属製造業,0,0,総数,349,8723850
1,230000,非鉄金属製造業,1,1,製造品出荷額,272,8292989
1,230000,非鉄金属製造業,1,2,加工賃収入額,75,x
1,230000,非鉄金属製造業,1,3,くず・廃物出荷額,2,x
2,231111,粗銅,1,1,製造品出荷額,-,-
2,231112,電気銅、さお銅（ビレット、ケークを含む）,1,1,製造品出荷額,-,-
2,231191,銅第１次製錬・精製（賃加工）,1,2,加工賃収入額,-,-
2,231211,亜鉛地金,1,1,製造品出荷額,-,-
2,231291,亜鉛第１次製錬・精製（賃加工）,1,2,加工賃収入額,-,-
2,231911,鉛地金,1,1,製造品出荷額,-,-
2,231912,金地金,1,1,製造品出荷額,-,-
2,231913,銀地金,1,1,製造品出荷額,-,-
2,231919,その他の非鉄金属（第１次製錬・精製によるもの）,1,1,製造品出荷額,-,-
2,231991,その他の非鉄金属第１次製錬・精製（賃加工）,1,2,加工賃収入額,-,-
2,232111,鉛再生地金（活字合金を含む）,1,1,製造品出荷額,-,-
2,232112,はんだ、減摩合金,1,1,製造品出荷額,2,x
2,232191,鉛第２次製錬・精製（賃加工）,1,2,加工賃収入額,-,-
2,232211,アルミニウム再生地金、アルミニウム合金,1,1,製造品出荷額,1,x
2,232291,アルミニウム第２次製錬・精製（賃加工）,1,2,加工賃収入額,2,x
2,232911,金再生地金、金合金,1,1,製造品出荷額,3,1817930
2,232912,銀再生地金、銀合金,1,1,製造品出荷額,5,142696
2,232913,銅再生地金、銅合金,1,1,製造品出荷額,1,x
2,232914,亜鉛再生地金、亜鉛合金,1,1,製造品出荷額,2,x
2,232919,その他の非鉄金属再生地金、同合金,1,1,製造品出荷額,6,1074654
2,232991,その他の非鉄金属第２次製錬・精製（賃加工）,1,2,加工賃収入額,8,24890
2,233111,銅伸銅品,1,1,製造品出荷額,2,x
2,233112,黄銅伸銅品,1,1,製造品出荷額,4,5521
2,233113,青銅伸銅品,1,1,製造品出荷額,1,x
2,233119,その他の伸銅品（洋白伸銅品を含む）,1,1,製造品出荷額,1,x
2,233191,伸銅品（賃加工）,1,2,加工賃収入額,7,109571
2,233211,アルミニウム圧延製品,1,1,製造品出荷額,6,398984
2,233212,アルミニウム押出し品（抽伸品を含む）,1,1,製造品出荷額,4,21797
2,233213,アルミニウムはく,1,1,製造品出荷額,-,-
2,233291,アルミニウム・同合金圧延（賃加工）,1,2,加工賃収入額,5,11327
2,233911,鉛管・板,1,1,製造品出荷額,-,-
2,233912,亜鉛・同合金展伸材（亜鉛板、亜鉛合金板を含む）,1,1,製造品出荷額,-,-
2,233913,金・同合金展伸材,1,1,製造品出荷額,1,x
2,233914,銀・同合金展伸材,1,1,製造品出荷額,1,x
2,233915,白金・同合金展伸材,1,1,製造品出荷額,1,x
2,233916,ニッケル・同合金展伸材,1,1,製造品出荷額,-,-
2,233919,その他の非鉄金属・同合金展伸材,1,1,製造品出荷額,6,966483
2,233991,その他の非鉄金属・同合金圧延（賃加工）,1,2,加工賃収入額,7,19577
2,234111,銅荒引線,1,1,製造品出荷額,-,-
2,234112,銅裸線,1,1,製造品出荷額,2,x
2,234113,銅被覆線,1,1,製造品出荷額,10,443393
2,234114,巻線,1,1,製造品出荷額,2,x
2,234115,電力ケーブル,1,1,製造品出荷額,-,-
2,234116,通信ケーブル,1,1,製造品出荷額,2,x
2,234117,アルミニウム荒引線,1,1,製造品出荷額,-,-
2,234118,アルミニウム線（アルミニウム荒引線を除く）,1,1,製造品出荷額,-,-
2,234191,電線・ケーブル（賃加工）,1,2,加工賃収入額,9,19587
2,234211,光ファイバコード（心線を含む）,1,1,製造品出荷額,1,x
2,234212,光ファイバケーブル（複合ケーブルを含む）,1,1,製造品出荷額,-,-
2,234291,光ファイバケーブル（賃加工）,1,2,加工賃収入額,2,x
2,235111,銅・同合金鋳物,1,1,製造品出荷額,15,275513
2,235191,銅・同合金鋳物（賃加工）,1,2,加工賃収入額,2,x
2,235211,アルミニウム・同合金鋳物,1,1,製造品出荷額,13,434091
2,235219,その他の非鉄金属鋳物,1,1,製造品出荷額,5,18841
2,235291,非鉄金属鋳物（賃加工）,1,2,加工賃収入額,6,30881
2,235311,アルミニウム・同合金ダイカスト,1,1,製造品出荷額,9,214853
2,235391,アルミニウム・同合金ダイカスト（賃加工）,1,2,加工賃収入額,8,47652
2,235411,亜鉛ダイカスト,1,1,製造品出荷額,14,171195
2,235419,その他の非鉄金属ダイカスト,1,1,製造品出荷額,2,x
2,235491,非鉄金属ダイカスト（賃加工）,1,2,加工賃収入額,1,x
2,235511,非鉄金属鍛造品,1,1,製造品出荷額,4,110803
2,235591,非鉄金属鍛造品（賃加工）,1,2,加工賃収入額,5,3878
2,239111,核燃料,1,1,製造品出荷額,-,-
2,239191,核燃料（賃加工）,1,2,加工賃収入額,-,-
2,239911,銅・同合金粉,1,1,製造品出荷額,1,x
2,239912,アルミニウム・同合金粉,1,1,製造品出荷額,2,x
2,239919,その他の非鉄金属・同合金粉,1,1,製造品出荷額,4,48874
2,239921,銅、鉛、亜鉛、ニッケル、すず等粗製品,1,1,製造品出荷額,6,285401
2,239929,その他の非鉄金属製品,1,1,製造品出荷額,6,241951
2,239931,非鉄金属くず,1,1,製造品出荷額,127,113243
2,239991,他に分類されない非鉄金属（賃加工）,1,2,加工賃収入額,13,135186
2,736600,製造工程からでたくず・廃物,1,3,くず・廃物出荷額,2,x
1,240000,金属製品製造業,0,0,総数,2169,26789116
1,240000,金属製品製造業,1,1,製造品出荷額,1320,18708745
1,240000,金属製品製造業,1,2,加工賃収入額,828,8073670
1,240000,金属製品製造業,1,3,くず・廃物出荷額,21,6701
2,241111,１８リットル缶,1,1,製造品出荷額,-,-
2,241112,食缶（缶詰用缶）,1,1,製造品出荷額,-,-
2,241119,その他のめっき板製容器,1,1,製造品出荷額,9,151050
2,241129,その他のめっき板製品,1,1,製造品出荷額,2,x
2,241191,ブリキ缶・その他のめっき板等製品（賃加工）,1,2,加工賃収入額,3,1350
2,242111,食卓用ナイフ・フォーク・スプーン（めっき製を含む）,1,1,製造品出荷額,-,-
2,242119,その他の洋食器,1,1,製造品出荷額,-,-
2,242191,洋食器（賃加工）,1,2,加工賃収入額,-,-
2,242211,鋼板せん断用刃物（シャーブレード）,1,1,製造品出荷額,5,22779
2,242212,合板・木材加工機械用刃物,1,1,製造品出荷額,3,27520
2,242219,その他の機械刃物,1,1,製造品出荷額,34,310945
2,242291,機械刃物（賃加工）,1,2,加工賃収入額,8,28929
2,242311,理髪用刃物,1,1,製造品出荷額,2,x
2,242312,ほう丁,1,1,製造品出荷額,1,x
2,242313,ナイフ類,1,1,製造品出荷額,-,-
2,242314,はさみ,1,1,製造品出荷額,2,x
2,242315,工匠具,1,1,製造品出荷額,-,-
2,242316,つるはし、ハンマ、ショベル、スコップ、バール（園芸用を含む）,1,1,製造品出荷額,-,-
2,242319,その他の利器工匠具、手道具,1,1,製造品出荷額,2,x
2,242391,利器工匠具・手道具（賃加工）,1,2,加工賃収入額,-,-
2,242411,作業工具,1,1,製造品出荷額,3,39759
2,242412,やすり,1,1,製造品出荷額,-,-
2,242491,作業工具（賃加工）,1,2,加工賃収入額,2,x
2,242511,手引のこぎり,1,1,製造品出荷額,-,-
2,242512,金切のこ刃,1,1,製造品出荷額,-,-
2,242519,その他ののこ刃,1,1,製造品出荷額,2,x
2,242591,手引のこぎり・のこ刃（賃加工）,1,2,加工賃収入額,-,-
2,242611,農業用器具,1,1,製造品出荷額,-,-
2,242612,農業用器具部分品,1,1,製造品出荷額,1,x
2,242691,農業用器具・同部分品（賃加工）,1,2,加工賃収入額,2,x
2,242911,錠、かぎ,1,1,製造品出荷額,16,168304
2,242912,建築用金物,1,1,製造品出荷額,44,609768
2,242913,架線金物,1,1,製造品出荷額,12,553784
2,242919,他に分類されない金物類,1,1,製造品出荷額,48,462341
2,242991,その他の金物類（賃加工）,1,2,加工賃収入額,13,47484
2,243111,金属製管継手,1,1,製造品出荷額,27,863452
2,243112,金属製衛生器具,1,1,製造品出荷額,3,4868
2,243113,その他の配管工事用附属品,1,1,製造品出荷額,12,48432
2,243191,配管工事用附属品（賃加工）,1,2,加工賃収入額,11,44474
2,243211,ガスこんろ,1,1,製造品出荷額,-,-
2,243212,ガス風呂釜（バーナ付の一体のものを含む）,1,1,製造品出荷額,-,-
2,243213,ガス湯沸器,1,1,製造品出荷額,-,-
2,243214,ガス炊飯器,1,1,製造品出荷額,-,-
2,243219,その他のガス機器（温風暖房機を除く）,1,1,製造品出荷額,5,97776
2,243221,石油ストーブ,1,1,製造品出荷額,-,-
2,243229,その他の石油機器（温風暖房機を除く）,1,1,製造品出荷額,-,-
2,243231,ガス機器・石油機器の部分品・附属品,1,1,製造品出荷額,18,81838
2,243291,ガス機器・石油機器・同部分品・附属品（賃加工）,1,2,加工賃収入額,3,3408
2,243311,温風暖房機（熱交換式のもの）,1,1,製造品出荷額,-,-
2,243312,温水ボイラ,1,1,製造品出荷額,-,-
2,243313,放熱器、ユニットヒータ,1,1,製造品出荷額,3,24689
2,243391,温風・温水暖房装置（賃加工）,1,2,加工賃収入額,-,-
2,243911,暖房用・調理用器具,1,1,製造品出荷額,2,x
2,243912,太陽熱利用機器,1,1,製造品出荷額,1,x
2,243919,その他の暖房・調理装置部分品,1,1,製造品出荷額,1,x
2,243991,その他の暖房・調理装置・同部分品（賃加工）,1,2,加工賃収入額,-,-
2,244111,鉄骨,1,1,製造品出荷額,31,457321
2,244112,軽量鉄骨,1,1,製造品出荷額,21,68757
2,244191,鉄骨（賃加工）,1,2,加工賃収入額,10,48697
2,244211,橋りょう,1,1,製造品出荷額,3,26478
2,244212,鉄塔,1,1,製造品出荷額,-,-
2,244213,水門,1,1,製造品出荷額,-,-
2,244219,その他の建設用金属製品,1,1,製造品出荷額,96,1196205
2,244291,建設用金属製品（賃加工）,1,2,加工賃収入額,32,163910
2,244311,住宅用アルミニウム製サッシ,1,1,製造品出荷額,8,116249
2,244312,ビル用アルミニウム製サッシ,1,1,製造品出荷額,4,82455
2,244319,その他のアルミニウム製サッシ,1,1,製造品出荷額,5,30421
2,244321,アルミニウム製ドア,1,1,製造品出荷額,3,14908
2,244322,金属製サッシ・ドア,1,1,製造品出荷額,21,238554
2,244391,金属製サッシ・ドア（賃加工）,1,2,加工賃収入額,10,52944
2,244411,鉄骨系プレハブ住宅,1,1,製造品出荷額,-,-
2,244412,ユニットハウス,1,1,製造品出荷額,-,-
2,244491,鉄骨系プレハブ住宅（賃加工）,1,2,加工賃収入額,-,-
2,244511,メタルラス,1,1,製造品出荷額,1,x
2,244512,シャッタ,1,1,製造品出荷額,5,62264
2,244513,建築用板金製品,1,1,製造品出荷額,18,193714
2,244519,その他の建築用金属製品,1,1,製造品出荷額,78,1162090
2,244591,建築用金属製品（賃加工）,1,2,加工賃収入額,30,131739
2,244611,板金製タンク,1,1,製造品出荷額,17,137305
2,244612,高圧容器（ボンベ）,1,1,製造品出荷額,3,30244
2,244613,ドラム缶,1,1,製造品出荷額,1,x
2,244614,コンテナ,1,1,製造品出荷額,-,-
2,244619,その他の製缶板金製品,1,1,製造品出荷額,116,1423721
2,244691,製缶板金製品（賃加工）,1,2,加工賃収入額,23,145438
2,244692,金属板加工（賃加工）,1,2,加工賃収入額,74,447551
2,245111,アルミニウム製機械部分品（機械仕上げをしないもの）,1,1,製造品出荷額,33,206461
2,245112,アルミニウム製台所・食卓用品,1,1,製造品出荷額,4,102267
2,245113,アルミニウム製飲料用缶,1,1,製造品出荷額,-,-
2,245119,その他の打抜・プレス加工アルミニウム、同合金製品,1,1,製造品出荷額,24,668801
2,245191,打抜・プレス加工アルミニウム・同合金製品（賃加工）,1,2,加工賃収入額,22,115597
2,245211,打抜・プレス機械部分品（機械仕上げをしないもの）,1,1,製造品出荷額,155,2463133
2,245212,王冠,1,1,製造品出荷額,2,x
2,245219,その他の打抜・プレス金属製品,1,1,製造品出荷額,41,706351
2,245291,打抜・プレス加工金属製品（賃加工）,1,2,加工賃収入額,82,328769
2,245311,粉末や金製品,1,1,製造品出荷額,4,53725
2,245391,粉末や金製品（賃加工）,1,2,加工賃収入額,4,9440
2,246191,金属製品塗装・エナメル塗装・ラッカー塗装（賃加工）,1,2,加工賃収入額,95,813719
2,246291,溶融めっき（賃加工）,1,2,加工賃収入額,7,112268
2,246311,金属彫刻品,1,1,製造品出荷額,13,100036
2,246391,金属彫刻（賃加工）,1,2,加工賃収入額,20,79782
2,246491,電気めっき（賃加工）,1,2,加工賃収入額,172,3667014
2,246511,金属熱処理品,1,1,製造品出荷額,7,189369
2,246591,金属熱処理（賃加工）,1,2,加工賃収入額,24,389595
2,246919,その他の金属表面処理,1,1,製造品出荷額,19,937394
2,246991,陽極酸化処理（賃加工）,1,2,加工賃収入額,22,360372
2,246992,金属張り（賃加工）,1,2,加工賃収入額,-,-
2,246993,金属研磨、電解研磨、シリコン研磨（賃加工）,1,2,加工賃収入額,36,261677
2,246994,その他の金属表面処理（賃加工）,1,2,加工賃収入額,29,277385
2,247111,鉄丸くぎ,1,1,製造品出荷額,-,-
2,247112,鉄特殊くぎ,1,1,製造品出荷額,-,-
2,247119,その他のくぎ,1,1,製造品出荷額,-,-
2,247191,くぎ（賃加工）,1,2,加工賃収入額,-,-
2,247911,鉄製金網（溶接金網、じゃかごを含む）,1,1,製造品出荷額,7,63881
2,247912,非鉄金属製金網,1,1,製造品出荷額,1,x
2,247913,ワイヤロープ（鋼より線を含む）,1,1,製造品出荷額,3,6088
2,247914,ＰＣ鋼より線,1,1,製造品出荷額,-,-
2,247915,溶接棒,1,1,製造品出荷額,-,-
2,247919,他に分類されない線材製品,1,1,製造品出荷額,20,354755
2,247991,その他の金属線製品（賃加工）,1,2,加工賃収入額,15,78098
2,248111,ボルト、ナット,1,1,製造品出荷額,69,1335022
2,248112,リベット,1,1,製造品出荷額,12,112855
2,248113,座金（ワッシャ）,1,1,製造品出荷額,10,36106
2,248114,木ねじ、小ねじ、押しねじ,1,1,製造品出荷額,14,110484
2,248119,その他のボルト・ナット等関連製品,1,1,製造品出荷額,30,468971
2,248191,ボルト・ナット・リベット・小ねじ・木ねじ等（賃加工）,1,2,加工賃収入額,33,197826
2,249111,金庫,1,1,製造品出荷額,1,x
2,249112,金庫の部分品・取付具・附属品,1,1,製造品出荷額,2,x
2,249191,金庫・同部分品・取付具・附属品（賃加工）,1,2,加工賃収入額,1,x
2,249211,かさね板ばね,1,1,製造品出荷額,1,x
2,249212,つるまきばね,1,1,製造品出荷額,5,17306
2,249213,線ばね,1,1,製造品出荷額,47,433157
2,249214,うす板ばね,1,1,製造品出荷額,23,106183
2,249219,その他のばね,1,1,製造品出荷額,17,83543
2,249291,金属製スプリング（賃加工）,1,2,加工賃収入額,9,18975
2,249911,金属製パッキン、ガスケット（非金属併用を含む）,1,1,製造品出荷額,8,540687
2,249912,金属板ネームプレート,1,1,製造品出荷額,22,334178
2,249913,フレキシブルチューブ,1,1,製造品出荷額,-,-
2,249914,金属製押出しチューブ,1,1,製造品出荷額,1,x
2,249915,金属はく（打ちはく）,1,1,製造品出荷額,1,x
2,249919,その他の金属製品,1,1,製造品出荷額,35,352979
2,249991,他に分類されない金属製品（賃加工）,1,2,加工賃収入額,36,236294
2,746600,製造工程からでたくず・廃物,1,3,くず・廃物出荷額,21,6701
1,250000,はん用機械器具製造業,0,0,総数,646,18797110
1,250000,はん用機械器具製造業,1,1,製造品出荷額,486,17846675
1,250000,はん用機械器具製造業,1,2,加工賃収入額,156,948449
1,250000,はん用機械器具製造業,1,3,くず・廃物出荷額,4,1986
2,251111,煙管ボイラ,1,1,製造品出荷額,-,-
2,251112,水管ボイラ,1,1,製造品出荷額,-,-
2,251119,その他のボイラ（温水ボイラを除く）,1,1,製造品出荷額,-,-
2,251121,ボイラの部分品・取付具・附属品,1,1,製造品出荷額,4,8138
2,251191,ボイラ・同部分品・取付具・附属品（賃加工）,1,2,加工賃収入額,1,x
2,251211,蒸気タービン,1,1,製造品出荷額,-,-
2,251219,その他のタービン,1,1,製造品出荷額,1,x
2,251221,蒸気機関・タービン・水力タービンの部分品・取付具・附属品,1,1,製造品出荷額,4,50168
2,251291,蒸気機関・タービン・水力タービン・同部分品・取付具・附属品（賃加工）,1,2,加工賃収入額,4,43670
2,251311,はん用ガソリン・石油機関（はん用ガス機関を含む）,1,1,製造品出荷額,-,-
2,251312,はん用ディーゼル機関,1,1,製造品出荷額,-,-
2,251313,はん用内燃機関の部分品・取付具・附属品,1,1,製造品出荷額,5,44440
2,251391,はん用内燃機関・同部分品・取付具・附属品（賃加工）,1,2,加工賃収入額,1,x
2,251911,原子動力炉、同部分品・取付具・附属品,1,1,製造品出荷額,1,x
2,251919,他に分類されない原動機,1,1,製造品出荷額,2,x
2,251991,その他の原動機（賃加工）,1,2,加工賃収入額,1,x
2,252111,単段式うず巻ポンプ（タービン形を含む）,1,1,製造品出荷額,1,x
2,252112,多段式うず巻ポンプ（タービン形を含む）,1,1,製造品出荷額,-,-
2,252113,耐しょく性ポンプ（化学工業用特殊ポンプ）,1,1,製造品出荷額,-,-
2,252114,家庭用電気ポンプ,1,1,製造品出荷額,1,x
2,252119,その他のポンプ,1,1,製造品出荷額,16,1806932
2,252121,ポンプ、同装置の部分品・取付具・附属品,1,1,製造品出荷額,23,212467
2,252191,ポンプ・同装置・同部分品・取付具・附属品（賃加工）,1,2,加工賃収入額,17,52452
2,252211,往復圧縮機,1,1,製造品出荷額,6,155973
2,252212,回転圧縮機,1,1,製造品出荷額,1,x
2,252213,遠心圧縮機、軸流圧縮機,1,1,製造品出荷額,-,-
2,252214,遠心送風機,1,1,製造品出荷額,5,183518
2,252215,軸流送風機,1,1,製造品出荷額,3,9378
2,252219,その他の送風機,1,1,製造品出荷額,4,80567
2,252222,空気圧縮機・ガス圧縮機・送風機の部分品・取付具・附属品,1,1,製造品出荷額,19,251752
2,252291,空気圧縮機・ガス圧縮機・送風機・同部分品・取付具・附属品（賃加工）,1,2,加工賃収入額,4,6610
2,252311,油圧ポンプ,1,1,製造品出荷額,2,x
2,252312,油圧モータ,1,1,製造品出荷額,-,-
2,252313,油圧シリンダ,1,1,製造品出荷額,9,371748
2,252314,油圧バルブ,1,1,製造品出荷額,2,x
2,252319,その他の油圧機器,1,1,製造品出荷額,7,334992
2,252321,油圧機器の部分品・取付具・附属品,1,1,製造品出荷額,16,204641
2,252331,空気圧機器（空気圧ユニット機器を含む）,1,1,製造品出荷額,7,56604
2,252332,空気圧機器の部分品・取付具・附属品,1,1,製造品出荷額,20,116282
2,252391,油圧・空気圧機器・同部分品・取付具・附属品（賃加工）,1,2,加工賃収入額,19,128692
2,253111,変速機,1,1,製造品出荷額,6,61806
2,253112,歯車（プラスチック製を含む）,1,1,製造品出荷額,23,385383
2,253113,ローラチェーン,1,1,製造品出荷額,2,x
2,253119,その他の動力伝導装置,1,1,製造品出荷額,12,197333
2,253121,動力伝導装置の部分品・取付具・附属品,1,1,製造品出荷額,14,144237
2,253191,動力伝導装置・同部分品・取付具・附属品（賃加工）,1,2,加工賃収入額,17,169768
2,253211,エレベータ,1,1,製造品出荷額,-,-
2,253212,エスカレータ,1,1,製造品出荷額,-,-
2,253213,エレベータ・エスカレータの部分品・取付具・附属品,1,1,製造品出荷額,30,711904
2,253291,エレベータ・エスカレータ・同部分品・取付具・附属品（賃加工）,1,2,加工賃収入額,3,1462
2,253311,天井走行クレーン,1,1,製造品出荷額,-,-
2,253319,その他のクレーン,1,1,製造品出荷額,5,47552
2,253321,巻上機,1,1,製造品出荷額,5,7400
2,253322,コンベヤ,1,1,製造品出荷額,11,181958
2,253329,その他の物流運搬設備,1,1,製造品出荷額,7,79030
2,253331,物流運搬設備の部分品・取付具・附属品,1,1,製造品出荷額,23,270644
2,253391,物流運搬設備・同部分品・取付具・附属品（賃加工）,1,2,加工賃収入額,11,60200
2,253411,工業窯炉,1,1,製造品出荷額,1,x
2,253412,工業窯炉の部分品・取付具・附属品,1,1,製造品出荷額,4,6087
2,253491,工業窯炉・同部分品・取付具・附属品（賃加工）,1,2,加工賃収入額,3,4668
2,253511,冷凍機,1,1,製造品出荷額,-,-
2,253512,冷凍・冷蔵用ショーケース（冷凍陳列棚を含む）,1,1,製造品出荷額,2,x
2,253513,エアコンディショナ（ウインド形、セパレート形を除く）,1,1,製造品出荷額,-,-
2,253519,その他の冷凍機応用製品,1,1,製造品出荷額,5,1209990
2,253521,冷却塔,1,1,製造品出荷額,-,-
2,253522,冷凍装置,1,1,製造品出荷額,2,x
2,253523,冷凍機・温湿調整装置の部分品・取付具・附属品,1,1,製造品出荷額,16,257695
2,253591,冷凍機・温湿調整装置・同部分品・取付具・附属品（賃加工）,1,2,加工賃収入額,6,101428
2,259111,消火器具、消火装置（消防自動車のぎ装品を含む）,1,1,製造品出荷額,1,x
2,259112,消火器具・消火装置の部分品・取付具・附属品,1,1,製造品出荷額,9,207185
2,259191,消火器具・消火装置・同部分品・取付具・附属品（賃加工）,1,2,加工賃収入額,2,x
2,259211,高温・高圧バルブ,1,1,製造品出荷額,3,181994
2,259212,自動調整バルブ,1,1,製造品出荷額,6,182141
2,259213,給排水用バルブ・コック,1,1,製造品出荷額,3,17530
2,259214,一般用バルブ・コック,1,1,製造品出荷額,18,877665
2,259215,バルブ・コック附属品,1,1,製造品出荷額,13,156031
2,259291,弁・同附属品（賃加工）,1,2,加工賃収入額,5,30072
2,259311,切断、屈曲、ねじ切等パイプ加工品（機械用金属製パイプ加工）,1,1,製造品出荷額,14,93812
2,259391,切断・屈曲・ねじ切等パイプ加工（賃加工）,1,2,加工賃収入額,11,28660
2,259411,ラジアル玉軸受（軸受ユニット用を除く）,1,1,製造品出荷額,1,x
2,259412,その他の玉軸受（軸受ユニット用を除く）,1,1,製造品出荷額,-,-
2,259413,ころ軸受（軸受ユニット用を除く）,1,1,製造品出荷額,2,x
2,259414,軸受ユニット,1,1,製造品出荷額,2,x
2,259415,玉軸受・ころ軸受の部分品,1,1,製造品出荷額,6,146657
2,259491,玉軸受・ころ軸受・同部分品（賃加工）,1,2,加工賃収入額,8,41900
2,259511,ピストンリング,1,1,製造品出荷額,1,x
2,259591,ピストンリング（賃加工）,1,2,加工賃収入額,-,-
2,259611,重油・ガス燃焼装置（軽油を含む）,1,1,製造品出荷額,1,x
2,259619,その他のはん用機械、同装置,1,1,製造品出荷額,8,303986
2,259629,他に分類されないはん用機械、同装置の部分品・取付具・附属品,1,1,製造品出荷額,19,308122
2,259691,他に分類されないはん用機械・同装置・同部分品・取付具・附属品（賃加工）,1,2,加工賃収入額,8,50046
2,259919,他に分類されない各種機械部分品,1,1,製造品出荷額,52,760063
2,259991,他に分類されない各種機械部分品（賃加工）,1,2,加工賃収入額,35,217525
2,756600,製造工程からでたくず・廃物,1,3,くず・廃物出荷額,4,1986
1,260000,生産用機械器具製造業,0,0,総数,1830,36457862
1,260000,生産用機械器具製造業,1,1,製造品出荷額,1434,33862235
1,260000,生産用機械器具製造業,1,2,加工賃収入額,385,2593258
1,260000,生産用機械器具製造業,1,3,くず・廃物出荷額,11,2369
2,261111,動力耕うん機、歩行用トラクタ（エンジンなしのもの及びガーデントラクタを含む）,1,1,製造品出荷額,-,-
2,261112,農業用トラクタ,1,1,製造品出荷額,-,-
2,261119,その他の整地用機器,1,1,製造品出荷額,1,x
2,261121,噴霧機、散粉機,1,1,製造品出荷額,2,x
2,261122,田植機,1,1,製造品出荷額,-,-
2,261129,その他の栽培用・管理用機器,1,1,製造品出荷額,3,78654
2,261131,農業用乾燥機,1,1,製造品出荷額,-,-
2,261132,コンバイン,1,1,製造品出荷額,-,-
2,261139,その他の収穫調整用機器,1,1,製造品出荷額,-,-
2,261141,飼料機器,1,1,製造品出荷額,1,x
2,261149,その他の農業用機械,1,1,製造品出荷額,-,-
2,261151,農業用機械の部分品・取付具・附属品,1,1,製造品出荷額,7,206756
